objectid,st_case,year,state,county,fatals,a_crainj,a_region,a_ru,a_inter,a_relrd,a_intsec,a_roadfc,a_junc,a_mancol,a_tod,a_dow,a_ct,a_weather,a_lt,a_mc,a_spcra,a_ped,a_ped_f,a_pedal,a_pedal_f,a_roll,a_polpur,a_posbac,a_d15_19,a_d16_19,a_d15_20,a_d16_20,a_d65_pls,a_d21_24,a_d16_24,a_rd,a_hr,a_dist,a_drowsy,bia,spj_indian,indian_res
1,10001,2020,1,51,3,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2,10002,2020,1,73,1,1,4,2,2,1,2,4,2,4,1,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
3,10003,2020,1,117,1,1,4,1,2,4,1,4,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
4,10004,2020,1,15,1,1,4,1,2,4,2,6,2,1,1,1,1,13,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
5,10005,2020,1,37,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
6,10006,2020,1,103,1,1,4,1,2,1,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
7,10007,2020,1,73,1,1,4,2,2,1,1,4,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
8,10008,2020,1,25,1,1,4,1,2,1,2,5,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
9,10009,2020,1,45,1,1,4,1,2,1,2,5,3,2,2,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10,10010,2020,1,95,1,1,4,1,2,1,2,3,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
11,10011,2020,1,79,1,1,4,1,2,1,1,3,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
12,10012,2020,1,73,1,1,4,2,2,1,1,3,1,4,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
13,10013,2020,1,125,1,1,4,2,2,1,2,5,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
14,10014,2020,1,53,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
15,10015,2020,1,61,1,1,4,1,2,1,2,4,2,1,1,1,1,13,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
16,10016,2020,1,43,1,1,4,1,2,1,2,3,2,3,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
17,10017,2020,1,73,1,1,4,2,2,1,1,3,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
18,10018,2020,1,43,1,1,4,1,2,1,2,4,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
19,10019,2020,1,113,1,1,4,2,2,4,2,6,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
20,10020,2020,1,73,1,1,4,2,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
21,10021,2020,1,97,1,1,4,2,2,1,1,3,1,4,1,1,2,6,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
22,10022,2020,1,9,1,1,4,1,2,1,2,4,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
23,10023,2020,1,93,1,1,4,1,2,4,2,5,2,1,2,1,1,13,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
24,10024,2020,1,81,1,1,4,1,2,1,1,3,1,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
25,10025,2020,1,77,1,1,4,1,2,4,1,5,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
26,10026,2020,1,115,1,1,4,1,2,1,2,4,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
27,10027,2020,1,129,1,1,4,1,2,3,2,3,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
28,10028,2020,1,73,1,1,4,2,1,4,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,0,0,0
